"contexto","categoria_contexto","genero","quantidade","percentual","salario_medio","salario_mediano","ano"
"Geral","Todos","Masculino","3967","76.07","12456.31","10000.5","2024"
"Geral","Todos","Prefiro não informar","15","0.29","14467.27","10000.5","2024"
"Cargo","Ciência de Dados","Feminino","161","23.44","10913.54","10000.5","2024"
"Cargo","Machine Learning / IA","Feminino","22","21.36","11341.43","10000.5","2024"
"Cargo","Ciência de Dados","Outro","3","0.44","9000.5","10000.5","2024"
"Cargo","Analytics Engineering","Outro","1","0.44","7000.5","7000.5","2024"
"Cargo","Engenharia de Dados","Outro","1","0.15","7000.5","7000.5","2024"
"Cargo","Engenharia de Dados","Feminino","92","13.94","8701.58","7000.5","2024"
"Senioridade","Sênior","Masculino","1228","78.12","15042.45","14000.5","2024"
"Senioridade","Júnior","Prefiro não informar","3","0.35","14667.33","2500.5","2024"
"Senioridade","Júnior","Feminino","242","27.88","4149.25","3500.5","2024"
"Cargo","Outros","Feminino","225","28.66","7707.16","7000.5","2024"
"Geral","Todos","Feminino","1225","23.49","10132.84","10000.5","2024"
"Cargo","Business Intelligence","Masculino","301","76.01","6651.65","5000.5","2024"
"Cargo","Analytics Engineering","Masculino","163","71.49","10865.53","10000.5","2024"
"Cargo","Ciência de Dados","Prefiro não informar","2","0.29","25000.75","10000.5","2024"
"Geral","Todos","Outro","8","0.15","13500.58","7000.5","2024"
"Cargo","Business Intelligence","Feminino","94","23.74","6117.51","5000.5","2024"
"Cargo","Engenharia de Dados","Prefiro não informar","3","0.45","9000.5","10000.5","2024"
"Cargo","Business Intelligence","Prefiro não informar","1","0.25","1500.5","1500.5","2024"
"Cargo","Outros","Masculino","557","70.96","8386.49","7000.5","2024"
"Cargo","Análise de Dados","Prefiro não informar","1","0.1","3500.5","3500.5","2024"
"Senioridade","Pleno","Feminino","365","26.53","7825.16","7000.5","2024"
"Cargo","Machine Learning / IA","Masculino","81","78.64","16753.61","14000.5","2024"
"Cargo","Engenharia de Dados","Masculino","564","85.45","13680.47","10000.5","2024"
"Senioridade","Sênior","Prefiro não informar","6","0.38","15250.58","10000.5","2024"
"Senioridade","Pleno","Prefiro não informar","3","0.22","8000.5","7000.5","2024"
"Senioridade","Júnior","Masculino","623","71.77","4102.41","3500.5","2024"
"Senioridade","Sênior","Feminino","335","21.31","12513.94","10000.5","2024"
"Cargo","Analytics Engineering","Feminino","62","27.19","11153.73","10000.5","2024"
"Cargo","Analytics Engineering","Prefiro não informar","2","0.88","4750.5","2500.5","2024"
"Cargo","Outros","Feminino","151","25.51","8397.85","7000.5","2025"
"Cargo","Análise de Dados","Masculino","670","70.01","8067.66","7000.5","2024"
"Cargo","Análise de Dados","Feminino","286","29.89","7848.4","7000.5","2024"
"Cargo","Ciência de Dados","Masculino","521","75.84","12068.64","10000.5","2024"
"Cargo","Outros","Prefiro não informar","3","0.38","22667.33","18000.5","2024"
"Senioridade","Sênior","Outro","3","0.19","9000.5","10000.5","2024"
"Senioridade","Pleno","Masculino","1006","73.11","8133.7","7000.5","2024"
"Senioridade","Pleno","Outro","2","0.15","7000.5","7000.5","2024"
"Cargo","Ciência de Dados","Feminino","94","22.22","11574.97","10000.5","2025"
"Senioridade","Sênior","Feminino","178","20.75","12081.97","10000.5","2025"
"Senioridade","Sênior","Masculino","675","78.67","14907.92","14000.5","2025"
"Senioridade","Júnior","Prefiro não informar","3","0.58","2833.83","3500.5","2025"
"Senioridade","Pleno","Feminino","173","22.32","8335.76","7000.5","2025"
"Geral","Todos","Masculino","2707","77.48","13603.75","10000.5","2025"
"Geral","Todos","Outro","7","0.2","7143.36","7000.5","2025"
"Cargo","Ciência de Dados","Outro","1","0.24","10000.5","10000.5","2025"
"Cargo","Business Intelligence","Masculino","162","75.35","7546.8","7000.5","2025"
"Cargo","Engenharia de Dados","Prefiro não informar","1","0.23","22500.5","22500.5","2025"
"Cargo","Business Intelligence","Outro","2","0.93","4250.5","1500.5","2025"
