"dimensao","categoria","quantidade_profissionais","percentual","salario_medio","salario_mediano","ano"
"Cargo","Ciência de Dados","687","17.81","10532.53","10000.5","2023"
"Cargo","Outros","859","22.27","7653.58","5000.5","2023"
"Senioridade","Sênior","1419","36.79","13577.68","10000.5","2023"
"Senioridade","Pleno","1392","36.09","7532.47","7000.5","2023"
"Setor","Finanças ou Bancos","927","19.5","11300.4","10000.5","2023"
"Setor","Outra Opção","344","7.24","9635.68","7000.5","2023"
"Setor","Entretenimento ou Esportes","59","1.24","12042.88","10000.5","2023"
"Setor","Marketing","115","2.42","7735.28","5000.5","2023"
"Setor","Telecomunicação","115","2.42","8204.85","7000.5","2023"
"Setor","Área da Saúde","201","4.23","10095.03","10000.5","2023"
"Setor","Indústria","313","6.59","9832.77","10000.5","2023"
"Setor","Agronegócios","92","1.94","8739.63","7000.5","2023"
"Setor","Área de Consultoria","389","8.18","9916.95","7000.5","2023"
"Setor","Filantropia/ONG's","28","0.59","7875.5","7000.5","2023"
"Setor","Setor Farmaceutico","29","0.61","11155.67","10000.5","2023"
"Experiência em Dados","de 1 a 2 anos","1201","25.27","6181.22","5000.5","2023"
"Experiência em Dados","de 5 a 6 anos","356","7.49","12947.14","10000.5","2023"
"Setor","Educação","209","4.4","9667.97","7000.5","2023"
"Cargo","Business Intelligence","506","13.12","6244.57","5000.5","2023"
"Senioridade","Júnior","1046","27.12","3909.24","3500.5","2023"
"Setor","Setor Alimentício","109","2.29","8995.91","7000.5","2023"
"Setor","Tecnologia/Fábrica de Software","857","18.03","11190.18","10000.5","2023"
"Setor","Setor Imobiliário/ Construção Civil","66","1.39","9644.44","7000.5","2023"
"Setor","Setor Automotivo","53","1.12","7745.78","7000.5","2023"
"Experiência em Dados","de 7 a 10 anos","429","9.03","15879.3","14000.5","2023"
"Experiência em Dados","de 3 a 4 anos","1109","23.33","9751.63","10000.5","2023"
"Experiência em Dados","Não tenho experiência na área de dados","162","3.41","6457.28","5000.5","2023"
"Cargo","Engenharia de Dados","684","17.73","11586.1","10000.5","2023"
"Cargo","Analytics Engineering","139","3.6","11040.07","10000.5","2023"
"Cargo","Machine Learning / IA","75","1.94","12500.5","10000.5","2023"
"Cargo","Análise de Dados","907","23.52","7137.77","7000.5","2023"
"Setor","Internet/Ecommerce","129","2.71","12318.34","10000.5","2023"
"Setor","Varejo","392","8.25","11217.35","10000.5","2023"
"Setor","Seguros ou Previdência","68","1.43","10676.97","10000.5","2023"
"Setor","Setor Público","174","3.66","9968.89","7000.5","2023"
"Setor","Setor de Energia","84","1.77","9607.64","7000.5","2023"
"Experiência em Dados","Menos de 1 ano","476","10.01","4320.86","3500.5","2023"
"Experiência em Dados","Mais de 10 anos","557","11.72","18627.11","18000.5","2023"
"Experiência em Dados","de 4 a 6 anos","463","9.74","13824.48","14000.5","2023"
"Cargo","Machine Learning / IA","103","2.7","15597.61","14000.5","2024"
"Cargo","Outros","785","20.57","8246.35","7000.5","2024"
"Setor","Internet/Ecommerce","153","3.15","15242.35","10000.5","2024"
"Setor","Entretenimento ou Esportes","46","0.95","15141.82","10000.5","2024"
"Setor","Agronegócios","84","1.73","10571.93","7000.5","2024"
"Experiência em Dados","de 7 a 10 anos","541","11.13","17773.17","14000.5","2024"
"Experiência em Dados","de 3 a 4 anos","1386","28.51","10280.09","10000.5","2024"
