"dimensao","categoria","quantidade_profissionais","percentual","salario_medio","salario_mediano","percentual_adocao_ia","ano"
"Região","Centro-oeste","332","6.54","10165.49","7000.5","100.0","2024"
"Região","Nordeste","516","10.17","9653.74","7000.5","100.0","2024"
"Região","Sul","1030","20.3","10387.14","10000.5","100.0","2024"
"Senioridade","Pleno","1376","36.06","8049.92","7000.5","100.0","2024"
"Região","Sudeste","3131","61.72","12590.34","10000.5","100.0","2024"
"Região","Norte","64","1.26","8711.02","7000.5","100.0","2024"
"Modelo de Trabalho","Remoto","2221","45.69","12647.96","10000.5","100.0","2024"
"Modelo de Trabalho","Híbrido","1848","38.02","12839.53","10000.5","100.0","2024"
"Senioridade","Júnior","868","22.75","4151.98","3500.5","100.0","2024"
"Senioridade","Sênior","1572","41.19","14492.88","14000.5","100.0","2024"
"Modelo de Trabalho","Presencial","792","16.29","7723.35","5000.5","100.0","2024"
"Região","Nordeste","380","11.28","10223.91","10000.5","100.0","2025"
"Região","Sul","540","16.03","12081.89","10000.5","100.0","2025"
"Região","Sudeste","2170","64.41","13379.65","10000.5","100.0","2025"
"Região","Centro-oeste","231","6.86","12631.74","10000.5","100.0","2025"
"Senioridade","Especialista / Staff+","349","13.96","19685.35","18000.5","100.0","2025"
"Modelo de Trabalho","Remoto","1281","39.7","14559.11","14000.5","100.0","2025"
"Região","Norte","48","1.42","12403.26","10000.5","100.0","2025"
"Senioridade","Júnior","518","20.72","4152.99","3500.5","100.0","2025"
"Senioridade","Pleno","775","31.0","8286.31","7000.5","100.0","2025"
"Senioridade","Sênior","858","34.32","14318.7","14000.5","100.0","2025"
"Modelo de Trabalho","Presencial","670","20.76","9063.19","7000.5","100.0","2025"
"Modelo de Trabalho","Híbrido","1276","39.54","13613.37","10000.5","100.0","2025"
"Região","Sudeste","3173","61.39","10905.37","10000.5","100.0","2023"
"Região","Centro-oeste","344","6.66","10299.84","10000.5","100.0","2023"
"Região","Norte","83","1.61","7877.3","7000.5","100.0","2023"
"Senioridade","Sênior","1419","36.79","13577.68","10000.5","100.0","2023"
"Região","Sul","961","18.59","9479.62","7000.5","100.0","2023"
"Senioridade","Pleno","1392","36.09","7532.47","7000.5","100.0","2023"
"Modelo de Trabalho","Híbrido","1762","37.07","10964.75","10000.5","100.0","2023"
"Região","Nordeste","608","11.76","8018.46","7000.5","100.0","2023"
"Senioridade","Júnior","1046","27.12","3909.24","3500.5","100.0","2023"
"Modelo de Trabalho","Remoto","2201","46.31","11210.89","10000.5","100.0","2023"
"Modelo de Trabalho","Presencial","790","16.62","7016.95","5000.5","100.0","2023"
