"categoria_tecnologia","tecnologia","quantidade_profissionais","percentual_adocao","ano"
"Linguagem","SAS/Stata_#151","151","4.0","2023"
"Linguagem","Não_utilizo_nenhuma_linguagem_#158","305","8.09","2023"
"Linguagem","Visual_Basic/VBA_#152","285","7.56","2023"
"Linguagem","Java","291","8.47","2024"
"Linguagem","SQL_#144","3156","83.67","2023"
"Linguagem","JavaScript_#157","282","7.48","2023"
"Banco de Dados","MariaDB_#170","124","3.44","2023"
"Banco de Dados","DynamoDB_#166","208","5.77","2023"
"Banco de Dados","S3","848","23.64","2024"
"Banco de Dados","Firebase","73","2.04","2024"
"Banco de Dados","Presto","150","4.18","2024"
"Banco de Dados","Splunk","24","0.67","2024"
"Banco de Dados","Google_BigQuery#96","941","26.23","2024"
"Banco de Dados","Amazon_Redshift#98","364","10.15","2024"
"Banco de Dados","Splunk_#191","49","1.36","2023"
"Banco de Dados","Cassandra_#168","42","1.16","2023"
"Banco de Dados","SQLite_#177","179","4.96","2023"
"Banco de Dados","PostgreSQL_#173","1068","29.61","2023"
"Banco de Dados","Snowflake_#187","220","6.1","2023"
"Banco de Dados","S3_#172","789","21.87","2023"
"Banco de Dados","Oracle_#163","686","19.02","2023"
"Banco de Dados","MongoDB_#169","428","11.87","2023"
"Banco de Dados","HBase","23","0.64","2024"
"Banco de Dados","Hive","265","7.39","2024"
"Banco de Dados","MySQL","832","23.19","2024"
"Banco de Dados","Amazon_Aurora_ou_RDS#94","238","6.64","2024"
"Banco de Dados","Microsoft_Access#95","119","3.32","2024"
"Banco de Dados","Amazon_Athena#99","504","14.05","2024"
"Banco de Dados","Datomic","17","0.47","2024"
"Cloud","Google_Cloud__GCP_#103","1049","29.95","2024"
"Banco de Dados","DB2_#175","100","2.77","2023"
"Banco de Dados","Microsoft_Access_#176","129","3.58","2023"
"Cloud","IBM_#200","47","1.31","2023"
"BI","Looker_#211","898","24.27","2023"
"BI","Tableau_#207","713","19.27","2023"
"BI","Looker_Studio_Google_Data_Studio__#212","653","17.65","2023"
"BI","SAP_Business_Objects/SAP_Analytics_#218","80","2.16","2023"
"BI","Amazon_Quicksight_#213","138","3.73","2023"
"BI","Pentaho_#225","176","4.76","2023"
"BI","Qlik_View/Qlik_Sense_#206","194","5.24","2023"
"BI","TIBCO_Spotfire_#224","27","0.73","2023"
"BI","Grafana_#223","276","7.46","2023"
"BI","MicroStrategy_#216","37","1.0","2023"
"Linguagem","NET_#148","40","1.06","2023"
"Linguagem","Java_#149","355","9.41","2023"
"Linguagem","C/C++/C#_#147","70","1.86","2023"
"Cloud","Servidores_On_Premise/Não_utilizamos_Cloud#106","463","13.22","2024"
"BI","SAP_Business_Objects/SAP_Analytics#113","55","1.57","2024"
"BI","Alteryx","72","2.06","2024"
"BI","Grafana","290","8.3","2024"
"Linguagem","Visual_Basic/VBA#90","215","6.26","2024"
"Linguagem","Scala","126","3.67","2024"
"Linguagem","PHP","34","0.99","2024"
"Linguagem","Python","2934","85.44","2024"
"Linguagem","Julia","6","0.17","2024"
"Cloud","Oracle_Cloud#105","143","4.08","2024"
"Cloud","Azure__Microsoft_#104","1108","31.64","2024"
"BI","Looker_Studio_Google_Data_Studio_#111","603","17.26","2024"
"BI","SAS_Visual_Analytics#116","74","2.12","2024"
"BI","Oracle_Business_Intelligence#114","36","1.03","2024"
"Linguagem","SQL","3145","91.58","2024"
"Linguagem","Rust","12","0.35","2024"
"Linguagem","R","352","10.25","2024"
"Linguagem","C/C++/C#","46","1.34","2024"
"Linguagem","Matlab","20","0.58","2024"
"Banco de Dados","MariaDB","129","3.6","2024"
"Banco de Dados","SQL_SERVER#93","1052","29.33","2024"
"Banco de Dados","CoachDB","7","0.2","2024"
"Banco de Dados","Snowflake","223","6.22","2024"
"Banco de Dados","DynamoDB","232","6.47","2024"
"Banco de Dados","SQLite","225","6.27","2024"
"Banco de Dados","PostgreSQL","1126","31.39","2024"
"Banco de Dados","Oracle","643","17.93","2024"
"BI","Superset","97","2.78","2024"
"BI","Salesforce/Einstein_Analytics#115","92","2.63","2024"
"BI","Microsoft_PowerBI#109","1996","57.14","2024"
"BI","Qlik_View/Qlik_Sense#110","178","5.1","2024"
"BI","Redash","55","1.57","2024"
"Linguagem","SAS/Stata","130","3.79","2024"
"Linguagem","NET","31","0.9","2024"
"Linguagem","JavaScript","223","6.49","2024"
"Banco de Dados","Redis","115","3.21","2024"
"Banco de Dados","Sybase","20","0.56","2024"
"Banco de Dados","Vertica","9","0.25","2024"
"Banco de Dados","Databricks","1116","31.11","2024"
"Banco de Dados","MongoDB","411","11.46","2024"
"Banco de Dados","ElasticSearch","154","4.29","2024"
"Banco de Dados","Neo4J","53","1.48","2024"
"Banco de Dados","Google_Firestore#97","56","1.56","2024"
"Banco de Dados","Cassandra","41","1.14","2024"
"Banco de Dados","Firebird","39","1.09","2024"
"Banco de Dados","SAP_HANA#100","192","5.35","2024"
"Banco de Dados","DB2","78","2.17","2024"
"Cloud","IBM","59","1.68","2024"
"Linguagem","Rust_#155","7","0.19","2023"
"Banco de Dados","Datomic_#171","20","0.55","2023"
"Banco de Dados","Neo4J_#182","34","0.94","2023"
"Banco de Dados","SAP_HANA_#192","211","5.85","2023"
"Banco de Dados","Presto_#190","139","3.85","2023"
"Banco de Dados","Firebird_#194","43","1.19","2023"
"Linguagem","Julia_#150","8","0.21","2023"
"Linguagem","Matlab_#154","30","0.8","2023"
"BI","Salesforce/Einstein_Analytics_#220","85","2.3","2023"
"BI","IBM_Analytics/Cognos_#217","25","0.68","2023"
"BI","SAS_Visual_Analytics_#222","85","2.3","2023"
"Linguagem","R__#145","408","10.82","2023"
"Cloud","Servidores_On_Premise/Não_utilizamos_Cloud_#201","582","16.18","2023"
"Cloud","Oracle_Cloud_#199","154","4.28","2023"
"Cloud","Azure__Microsoft__#196","1529","42.52","2023"
"Cloud","Amazon_Web_Services__AWS__#197","1106","30.76","2023"
"BI","Microsoft_PowerBI_#205","2154","58.22","2023"
"BI","Alteryx_#215","100","2.7","2023"
"BI","Birst_#221","5","0.14","2023"
"Linguagem","PHP_#156","56","1.48","2023"
"Linguagem","Python_#146","2825","74.89","2023"
"Linguagem","Scala_#153","131","3.47","2023"
"Banco de Dados","HBase_#189","24","0.67","2023"
"Banco de Dados","Redis_#181","100","2.77","2023"
"Banco de Dados","Hive_#193","295","8.18","2023"
"Banco de Dados","Amazon_Aurora_ou_RDS_#165","241","6.68","2023"
"Banco de Dados","SQL_SERVER_#164","1209","33.52","2023"
"Banco de Dados","Firebase_#179","104","2.88","2023"
"Banco de Dados","Google_Firestore_#184","65","1.8","2023"
"Banco de Dados","CoachDB_#167","4","0.11","2023"
"BI","Superset_#209","85","2.3","2023"
"BI","Não_utilizo_nenhuma_ferramenta_de_BI_no_trabalho_#227","409","11.05","2023"
"Cloud","Amazon_Web_Services__AWS_#102","1583","45.2","2024"
"Cloud","Cloud_Própria#107","191","5.45","2024"
"BI","Looker","831","23.79","2024"
"BI","Não_utilizo_nenhuma_ferramenta_de_BI_no_trabalho#118","353","10.11","2024"
"BI","Fazemos_todas_as_análises_utilizando_apenas_Excel_ou_planilhas_do_google#117","384","10.99","2024"
"BI","Metabase","318","9.1","2024"
"BI","Tableau","687","19.67","2024"
"BI","Amazon_Quicksight#112","167","4.78","2024"
"BI","Pentaho","113","3.24","2024"
"BI","Fazemos_todas_as_análises_utilizando_apenas_Excel_ou_planilhas_do_google_#226","391","10.57","2023"
"Banco de Dados","Amazon_Athena_#186","451","12.5","2023"
"Banco de Dados","Databricks_#188","807","22.37","2023"
"Banco de Dados","Google_BigQuery_#183","983","27.25","2023"
"Banco de Dados","Amazon_Redshift_#185","414","11.48","2023"
"Banco de Dados","ElasticSearch_#174","149","4.13","2023"
"Banco de Dados","Vertica_#180","11","0.3","2023"
"Banco de Dados","MySQL_#162","927","25.7","2023"
"Banco de Dados","Sybase_#178","29","0.8","2023"
"Cloud","Cloud_Própria_#202","251","6.98","2023"
"Cloud","Google_Cloud__GCP__#198","1141","31.73","2023"
"BI","Mode_#214","13","0.35","2023"
"BI","Oracle_Business_Intelligence_#219","49","1.32","2023"
"BI","Metabase_#208","324","8.76","2023"
"BI","Redash_#210","62","1.68","2023"
"Linguagem","Julia","18","0.86","2025"
"Banco de Dados","Amazon_Athena#95","319","15.23","2025"
"Banco de Dados","CoachDB","6","0.29","2025"
"Banco de Dados","Vertica","7","0.33","2025"
"Banco de Dados","SQLite","258","12.32","2025"
"Banco de Dados","Hive","160","7.64","2025"
"Banco de Dados","Sybase","13","0.62","2025"
"Banco de Dados","Google_BigQuery#92","566","27.02","2025"
"Banco de Dados","Databricks","689","32.89","2025"
"Banco de Dados","DynamoDB","159","7.59","2025"
"Banco de Dados","Presto","88","4.2","2025"
"Banco de Dados","DB2","73","3.48","2025"
"Banco de Dados","Firebird","31","1.48","2025"
"Banco de Dados","Cassandra","30","1.43","2025"
"Cloud","Cloud_Própria#103","114","5.57","2025"
"BI","Microsoft_PowerBI#105","1242","60.59","2025"
"BI","Alteryx","43","2.1","2025"
"BI","Grafana","183","8.93","2025"
"BI","Pentaho","67","3.27","2025"
"BI","Qlik_View/Qlik_Sense#106","91","4.44","2025"
"BI","Metabase","177","8.63","2025"
"Linguagem","C/C++/C#","49","2.34","2025"
"Linguagem","Rust","35","1.67","2025"
"Cloud","Google_Cloud__GCP_#99","647","31.62","2025"
"Cloud","IBM","25","1.22","2025"
"Cloud","Azure__Microsoft_#100","730","35.68","2025"
"BI","Amazon_Quicksight#108","143","6.98","2025"
"BI","Redash","13","0.63","2025"
"BI","Fazemos_todas_as_análises_utilizando_apenas_Excel_ou_planilhas_do_google#113","217","10.59","2025"
"Linguagem","R","327","15.65","2025"
"Linguagem","Scala","70","3.35","2025"
"Linguagem","DAX","8","0.38","2025"
"Linguagem","SQL","1763","84.35","2025"
"Banco de Dados","Oracle","410","19.57","2025"
"Banco de Dados","S3","604","28.83","2025"
"Banco de Dados","Amazon_Aurora_ou_RDS#90","171","8.16","2025"
"Banco de Dados","Snowflake","191","9.12","2025"
"Banco de Dados","MySQL","598","28.54","2025"
"Banco de Dados","SAP_HANA#96","123","5.87","2025"
"Banco de Dados","MongoDB","310","14.8","2025"
"Banco de Dados","Amazon_Redshift#94","230","10.98","2025"
"Banco de Dados","MariaDB","91","4.34","2025"
"Banco de Dados","PostgreSQL","771","36.8","2025"
"Banco de Dados","Google_Firestore#93","37","1.77","2025"
"Banco de Dados","Firebase","65","3.1","2025"
"BI","SAS_Visual_Analytics#112","36","1.76","2025"
"BI","Looker_Studio_Google_Data_Studio_#107","328","16.0","2025"
"BI","Não_utilizo_nenhuma_ferramenta_de_BI_no_trabalho#114","239","11.66","2025"
"BI","Tableau","287","14.0","2025"
"BI","Superset","67","3.27","2025"
"BI","Oracle_Business_Intelligence#110","19","0.93","2025"
"BI","Looker","475","23.17","2025"
"Linguagem","Visual_Basic/VBA#86","1","0.05","2025"
"Linguagem","Python","1928","92.25","2025"
"Banco de Dados","SQL_SERVER#89","702","33.51","2025"
"Banco de Dados","Redis","130","6.21","2025"
"Banco de Dados","Microsoft_Access#91","90","4.3","2025"
"Banco de Dados","Datomic","13","0.62","2025"
